iter	Passed	Remaining
0	122	12129
1	141	6913
2	166	5399
3	194	4657
4	214	4076
5	240	3769
6	270	3593
7	302	3473
8	334	3383
9	361	3254
10	375	3040
11	396	2905
12	409	2742
13	429	2637
14	445	2525
15	462	2426
16	478	2338
17	496	2263
18	514	2192
19	531	2125
20	550	2071
21	567	2013
22	584	1956
23	603	1911
24	621	1865
25	638	1818
26	658	1781
27	677	1740
28	698	1710
29	720	1680
30	732	1631
31	753	1602
32	772	1568
33	790	1534
34	808	1502
35	827	1471
36	844	1438
37	862	1407
38	879	1375
39	896	1345
40	913	1314
41	931	1286
42	948	1257
43	964	1228
44	981	1199
45	999	1173
46	1010	1139
47	1025	1111
48	1041	1083
49	1056	1056
50	1071	1029
51	1086	1002
52	1101	976
53	1124	958
54	1146	938
55	1163	914
56	1184	893
57	1198	868
58	1214	843
59	1233	822
60	1252	800
61	1270	778
62	1289	757
63	1309	736
64	1331	717
65	1349	695
66	1368	673
67	1390	654
68	1410	633
69	1430	613
70	1449	592
71	1469	571
72	1487	549
73	1502	527
74	1516	505
75	1534	484
76	1550	463
77	1566	441
78	1581	420
79	1598	399
80	1615	378
81	1632	358
82	1648	337
83	1665	317
84	1681	296
85	1700	276
86	1718	256
87	1735	236
88	1753	216
89	1767	196
90	1781	176
91	1795	156
92	1811	136
93	1828	116
94	1847	97
95	1867	77
96	1884	58
97	1899	38
98	1915	19
99	1931	0
